                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  0.767,                0.85568,                0.96858,                0.66868,                 0.6979,                0.72485,                0.56273,                0.66986,                0.83008,                0.93734,              0.0003125,              0.0003125,              0.0003125
                      2,                0.80031,                0.89741,                0.97868,                0.55787,                0.62899,                0.61696,                 0.4533,                 0.7535,                 0.9144,                0.95758,             0.00062488,             0.00062488,             0.00062488
                      3,                0.81185,                0.92682,                 0.9783,                0.60446,                0.59257,                0.64378,                0.47995,                0.74468,                0.92011,                0.96709,             0.00092439,             0.00092439,             0.00092439
                      4,                 0.8567,                0.96645,                0.98865,                0.51258,                0.57113,                0.55821,                0.39875,                0.79792,                  1.037,                 0.9888,              0.0011757,              0.0011757,              0.0011757
                      5,                0.84192,                0.98016,                0.98564,                0.56118,                0.63755,                0.63012,                0.46263,                0.75104,                0.95402,                0.97508,               0.001151,               0.001151,               0.001151
                      6,                0.82479,                 0.9408,                0.98396,                0.54413,                0.58375,                0.58082,                0.42244,                0.76932,                0.97866,                0.98029,              0.0011263,              0.0011263,              0.0011263
                      7,                0.83364,                0.93644,                0.99258,                0.51542,                 0.6244,                0.58924,                0.43878,                0.75483,                  1.115,                0.97802,              0.0011015,              0.0011015,              0.0011015
                      8,                0.84675,                0.93887,                0.99578,                0.52944,                0.55715,                0.55711,                0.40935,                0.76826,                 1.0178,                0.97416,              0.0010768,              0.0010768,              0.0010768
                      9,                0.81282,                0.91109,                 0.9812,                0.63587,                0.59214,                0.64469,                0.48267,                0.72538,                0.92309,                0.95721,               0.001052,               0.001052,               0.001052
                     10,                0.81878,                0.90165,                0.98582,                0.52307,                0.57561,                0.57955,                0.42436,                0.75833,                0.97116,                0.97817,              0.0010273,              0.0010273,              0.0010273
                     11,                0.80303,                0.87986,                0.98489,                0.59056,                0.60818,                0.61756,                0.45639,                0.73459,                0.88914,                 0.9676,              0.0010025,              0.0010025,              0.0010025
                     12,                 0.8049,                0.86983,                0.97634,                0.59266,                0.60005,                0.60648,                0.45049,                0.74959,                0.91196,                0.97393,             0.00097775,             0.00097775,             0.00097775
                     13,                0.80405,                 0.8691,                0.97072,                0.60098,                0.62759,                0.64175,                0.47518,                0.73843,                0.88237,                0.97392,               0.000953,               0.000953,               0.000953
                     14,                0.80205,                0.87434,                0.97828,                0.59111,                0.57627,                0.61549,                0.45159,                0.75082,                0.91334,                0.96976,             0.00092825,             0.00092825,             0.00092825
                     15,                0.80629,                0.87202,                0.97725,                0.60556,                0.57928,                0.61337,                0.44463,                0.75434,                0.92969,                0.97244,              0.0009035,              0.0009035,              0.0009035
                     16,                0.79819,                0.84891,                0.97579,                0.60633,                0.61568,                0.64276,                0.47031,                0.74477,                0.91401,                0.97453,             0.00087875,             0.00087875,             0.00087875
                     17,                 0.7868,                0.85795,                 0.9729,                0.55579,                0.64977,                0.62616,                0.45884,                0.76635,                0.98703,                0.98755,               0.000854,               0.000854,               0.000854
                     18,                 0.7944,                0.86125,                0.97736,                0.63662,                0.59877,                0.65224,                0.47604,                0.76127,                0.90436,                0.97156,             0.00082925,             0.00082925,             0.00082925
                     19,                0.77933,                0.81713,                0.96371,                0.59154,                0.64099,                0.64724,                0.47392,                0.75441,                0.87327,                0.97609,              0.0008045,              0.0008045,              0.0008045
                     20,                0.80105,                0.84042,                0.97731,                0.60985,                0.60563,                0.63728,                0.46545,                0.75639,                0.89456,                0.98474,             0.00077975,             0.00077975,             0.00077975
                     21,                0.78252,                0.81261,                0.96842,                0.60691,                0.60662,                0.63993,                0.47891,                 0.7094,                0.90144,                0.95472,               0.000755,               0.000755,               0.000755
                     22,                0.75925,                0.80395,                0.96253,                0.57765,                0.63831,                0.63733,                0.47766,                0.71976,                0.87272,                0.96862,             0.00073025,             0.00073025,             0.00073025
                     23,                0.76913,                0.81255,                0.96668,                0.64127,                0.64342,                0.67266,                0.49153,                0.76258,                0.85741,                0.97407,              0.0007055,              0.0007055,              0.0007055
                     24,                0.76442,                0.80235,                0.96215,                  0.612,                0.65332,                0.66287,                0.49081,                0.74329,                0.87709,                0.97267,             0.00068075,             0.00068075,             0.00068075
                     25,                0.76961,                0.78918,                0.96439,                0.60802,                 0.6402,                0.65941,                 0.4848,                0.73617,                 0.8728,                0.97408,               0.000656,               0.000656,               0.000656
                     26,                0.75695,                 0.7734,                  0.961,                0.62362,                0.64172,                0.68041,                0.50104,                0.74883,                 0.8384,                0.97235,             0.00063125,             0.00063125,             0.00063125
                     27,                0.75627,                0.76271,                0.95719,                0.59046,                 0.6404,                0.66218,                0.49105,                0.71012,                0.83542,                0.95708,              0.0006065,              0.0006065,              0.0006065
                     28,                0.74617,                0.75561,                0.95482,                0.63428,                0.61621,                0.65155,                0.49021,                0.69853,                0.85935,                0.95743,             0.00058175,             0.00058175,             0.00058175
                     29,                0.73858,                0.77029,                0.95358,                0.58821,                0.64389,                0.65257,                0.48598,                 0.7493,                0.86913,                0.97518,               0.000557,               0.000557,               0.000557
                     30,                0.76293,                0.77364,                0.96188,                0.57242,                0.64805,                0.65643,                0.48687,                0.72932,                0.85873,                0.96733,             0.00053225,             0.00053225,             0.00053225
                     31,                0.74678,                0.76371,                0.95467,                0.59817,                0.60367,                0.63397,                0.46828,                0.73573,                0.87898,                0.96727,              0.0005075,              0.0005075,              0.0005075
                     32,                 0.7256,                0.73512,                0.94633,                 0.5925,                0.63388,                0.64872,                 0.4886,                0.71471,                0.83183,                0.96109,             0.00048275,             0.00048275,             0.00048275
                     33,                0.73759,                0.73672,                0.94748,                0.61106,                0.61824,                0.66602,                0.49749,                0.71172,                0.82072,                0.96184,               0.000458,               0.000458,               0.000458
                     34,                0.71399,                0.73217,                0.95472,                0.60333,                0.66334,                0.68948,                0.52218,                0.69375,                0.81444,                0.95069,             0.00043325,             0.00043325,             0.00043325
                     35,                0.73003,                0.71981,                0.94823,                0.57137,                0.68022,                 0.6745,                0.49944,                0.72519,                0.83476,                0.96976,              0.0004085,              0.0004085,              0.0004085
                     36,                0.73067,                0.72045,                0.95181,                 0.6019,                0.63649,                0.67465,                0.50794,                0.69103,                0.83855,                0.95202,             0.00038375,             0.00038375,             0.00038375
                     37,                0.72078,                0.71295,                0.94418,                0.60905,                0.67651,                0.69324,                0.52289,                0.69297,                0.80611,                0.95315,               0.000359,               0.000359,               0.000359
                     38,                0.72704,                0.70494,                  0.935,                0.58348,                0.66026,                0.67871,                 0.5056,                0.70338,                0.81949,                0.95884,             0.00033425,             0.00033425,             0.00033425
                     39,                0.71965,                0.70075,                0.93885,                0.66464,                0.63277,                0.69317,                0.52397,                0.68242,                0.80165,                0.95262,              0.0003095,              0.0003095,              0.0003095
                     40,                0.71633,                 0.7032,                0.94927,                0.61461,                 0.6367,                 0.6709,                0.50166,                0.70847,                0.81515,                0.95987,             0.00028475,             0.00028475,             0.00028475
                     41,                0.71443,                 0.6982,                0.94323,                0.64861,                0.64197,                 0.6886,                0.51718,                 0.6938,                0.80002,                 0.9527,                0.00026,                0.00026,                0.00026
                     42,                0.70188,                0.68869,                0.94037,                0.63285,                0.61592,                0.67513,                 0.5085,                0.69345,                0.81259,                0.95064,             0.00023525,             0.00023525,             0.00023525
                     43,                0.69826,                0.68264,                0.93646,                0.65659,                0.64215,                0.69598,                0.52876,                0.68498,                0.78654,                0.94704,              0.0002105,              0.0002105,              0.0002105
                     44,                0.70191,                0.68827,                0.93716,                0.64734,                0.64631,                0.69879,                0.53303,                0.67285,                0.77991,                0.94611,             0.00018575,             0.00018575,             0.00018575
                     45,                0.69649,                0.67367,                0.93767,                0.64254,                0.63543,                0.68991,                0.52231,                0.69072,                0.79586,                0.95374,               0.000161,               0.000161,               0.000161
                     46,                0.69438,                0.66555,                0.93007,                0.67579,                0.62078,                0.68828,                0.52705,                0.68167,                0.78225,                0.94564,             0.00013625,             0.00013625,             0.00013625
                     47,                 0.6815,                0.66703,                0.93029,                0.66237,                0.64384,                0.69796,                0.53218,                0.67534,                0.77375,                0.94303,              0.0001115,              0.0001115,              0.0001115
                     48,                0.68589,                0.65444,                0.92942,                 0.6497,                0.63875,                0.69104,                0.52936,                0.67575,                0.77418,                0.94471,              8.675e-05,              8.675e-05,              8.675e-05
                     49,                0.67949,                0.66227,                 0.9283,                0.67271,                0.62826,                0.69405,                0.52955,                 0.6737,                0.77449,                0.94443,                6.2e-05,                6.2e-05,                6.2e-05
                     50,                0.66778,                 0.6472,                0.92418,                0.66243,                0.62982,                0.69812,                0.53106,                0.67871,                0.77518,                0.94564,              3.725e-05,              3.725e-05,              3.725e-05
